prompt_id,kind,task,prompt_idx,partner_id,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,input_9,input_10,output_1,output_2,output_3,output_4,output_5,output_6,output_7,output_8,output_9,output_10,query_input,query_output,prompt
244,icl,knowledge/location_continent,22,245,Minna Bluff,David Island,Gornergrat,Langnes Peninsula,Neptune Glacier,Svarthamaren Mountain,Cieszyn,Samuel Peak,Founders Peaks,Pequod Glacier,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Crevasse Valley Glacier,Antarctica,"Minna Bluff → Antarctica
David Island → Antarctica
Gornergrat → Europe
Langnes Peninsula → Antarctica
Neptune Glacier → Antarctica
Svarthamaren Mountain → Antarctica
Cieszyn → Europe
Samuel Peak → Antarctica
Founders Peaks → Antarctica
Pequod Glacier → Antarctica
Crevasse Valley Glacier →"
245,query_only,knowledge/location_continent,22,244,,,,,,,,,,,,,,,,,,,,,Cape Adare,Antarctica,Cape Adare →
246,icl,knowledge/location_continent,23,247,"D'Urville Island, Antarctica",Roberts Massif,Cape Northrop,East Ongul Island,Andvord Bay,Tamil Nadu,history of Africa,KU Leuven,Lake Baikal,Millerand Island,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Africa,Europe,Asia,Antarctica,Cape Adare,Antarctica,"D'Urville Island, Antarctica → Antarctica
Roberts Massif → Antarctica
Cape Northrop → Antarctica
East Ongul Island → Antarctica
Andvord Bay → Antarctica
Tamil Nadu → Asia
history of Africa → Africa
KU Leuven → Europe
Lake Baikal → Asia
Millerand Island → Antarctica
Cape Adare →"
247,query_only,knowledge/location_continent,23,246,,,,,,,,,,,,,,,,,,,,,Irish Free State,Europe,Irish Free State →
248,icl,knowledge/location_continent,24,249,Cape Hallett,Veleka Ridge,Yule Bay,Lillie Range,Lovech Heights,Alexander Island,Slovenia,Mount Steere,Queen Elizabeth Land,Mount Electra,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Irish Free State,Europe,"Cape Hallett → Antarctica
Veleka Ridge → Antarctica
Yule Bay → Antarctica
Lillie Range → Antarctica
Lovech Heights → Antarctica
Alexander Island → Antarctica
Slovenia → Europe
Mount Steere → Antarctica
Queen Elizabeth Land → Antarctica
Mount Electra → Antarctica
Irish Free State →"
249,query_only,knowledge/location_continent,24,248,,,,,,,,,,,,,,,,,,,,,Langnes Peninsula,Antarctica,Langnes Peninsula →
250,icl,knowledge/location_continent,25,251,Handel Ice Piedmont,Loire,Uranus Glacier,Guadalquivir,Napier Mountains,Duchy of Brabant,Lomonosov Mountains,Leverett Glacier,Cape Bird,Matusevich Glacier,Antarctica,Europe,Antarctica,Europe,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Langnes Peninsula,Antarctica,"Handel Ice Piedmont → Antarctica
Loire → Europe
Uranus Glacier → Antarctica
Guadalquivir → Europe
Napier Mountains → Antarctica
Duchy of Brabant → Europe
Lomonosov Mountains → Antarctica
Leverett Glacier → Antarctica
Cape Bird → Antarctica
Matusevich Glacier → Antarctica
Langnes Peninsula →"
251,query_only,knowledge/location_continent,25,250,,,,,,,,,,,,,,,,,,,,,European Union,Europe,European Union →
252,icl,knowledge/location_continent,26,253,Turkmenistan,Beall Island,Mount Harker,Chapman Snowfield,Niger River,Knox Coast,Clare Range,Kilby Island,Wright Lower Glacier,Bosnia and Herzegovina,Asia,Antarctica,Antarctica,Antarctica,Africa,Antarctica,Antarctica,Antarctica,Antarctica,Europe,European Union,Europe,"Turkmenistan → Asia
Beall Island → Antarctica
Mount Harker → Antarctica
Chapman Snowfield → Antarctica
Niger River → Africa
Knox Coast → Antarctica
Clare Range → Antarctica
Kilby Island → Antarctica
Wright Lower Glacier → Antarctica
Bosnia and Herzegovina → Europe
European Union →"
253,query_only,knowledge/location_continent,26,252,,,,,,,,,,,,,,,,,,,,,Biscoe Islands,Antarctica,Biscoe Islands →
254,icl,knowledge/location_continent,27,255,Mount Newall,Rouen Mountains,Mount Manthe,Schokalsky Bay,William Scoresby Archipelago,Turkey,Bowman Coast,Antim Peak,Spur Point,Neva,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Antarctica,Antarctica,Europe,Biscoe Islands,Antarctica,"Mount Newall → Antarctica
Rouen Mountains → Antarctica
Mount Manthe → Antarctica
Schokalsky Bay → Antarctica
William Scoresby Archipelago → Antarctica
Turkey → Asia
Bowman Coast → Antarctica
Antim Peak → Antarctica
Spur Point → Antarctica
Neva → Europe
Biscoe Islands →"
255,query_only,knowledge/location_continent,27,254,,,,,,,,,,,,,,,,,,,,,Mount Longhurst,Antarctica,Mount Longhurst →
256,icl,knowledge/location_continent,28,257,Barker Range,Egypt,Hanoi,Despotate of Epirus,Arkell Cirque,Hektoria Glacier,Gair Mesa,Manipur,Davis Sea,Hurricane Ridge,Antarctica,Africa,Asia,Europe,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Antarctica,Mount Longhurst,Antarctica,"Barker Range → Antarctica
Egypt → Africa
Hanoi → Asia
Despotate of Epirus → Europe
Arkell Cirque → Antarctica
Hektoria Glacier → Antarctica
Gair Mesa → Antarctica
Manipur → Asia
Davis Sea → Antarctica
Hurricane Ridge → Antarctica
Mount Longhurst →"
257,query_only,knowledge/location_continent,28,256,,,,,,,,,,,,,,,,,,,,,Demay Point,Antarctica,Demay Point →
258,icl,knowledge/location_continent,29,259,Herbert Mountains,Block Bay,Liberia,Lomonosov Mountains,Guest Peninsula,Havre Mountains,Mirabito Range,Mali,Jhelum River,South Asia,Antarctica,Antarctica,Africa,Antarctica,Antarctica,Antarctica,Antarctica,Africa,Asia,Asia,Demay Point,Antarctica,"Herbert Mountains → Antarctica
Block Bay → Antarctica
Liberia → Africa
Lomonosov Mountains → Antarctica
Guest Peninsula → Antarctica
Havre Mountains → Antarctica
Mirabito Range → Antarctica
Mali → Africa
Jhelum River → Asia
South Asia → Asia
Demay Point →"
259,query_only,knowledge/location_continent,29,258,,,,,,,,,,,,,,,,,,,,,Byers Peninsula,Antarctica,Byers Peninsula →
260,icl,knowledge/location_continent,30,261,"D'Urville Island, Antarctica",Mobiloil Inlet,Condor Peninsula,Reeves Glacier,Drummond Glacier,Sentinel Range,Western Asia,Cape Evensen,Nye Mountains,Zed Islands,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Antarctica,Antarctica,Byers Peninsula,Antarctica,"D'Urville Island, Antarctica → Antarctica
Mobiloil Inlet → Antarctica
Condor Peninsula → Antarctica
Reeves Glacier → Antarctica
Drummond Glacier → Antarctica
Sentinel Range → Antarctica
Western Asia → Asia
Cape Evensen → Antarctica
Nye Mountains → Antarctica
Zed Islands → Antarctica
Byers Peninsula →"
261,query_only,knowledge/location_continent,30,260,,,,,,,,,,,,,,,,,,,,,Lamplugh Island,Antarctica,Lamplugh Island →
262,icl,knowledge/location_continent,31,263,Trinity Peninsula,Alexander Island,Shirley Island,Peacock Sound,Albanus Glacier,Green Glacier,Atbarah River,Chad Basin,Hutton Mountains,Huntress Glacier,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Africa,Africa,Antarctica,Antarctica,Lamplugh Island,Antarctica,"Trinity Peninsula → Antarctica
Alexander Island → Antarctica
Shirley Island → Antarctica
Peacock Sound → Antarctica
Albanus Glacier → Antarctica
Green Glacier → Antarctica
Atbarah River → Africa
Chad Basin → Africa
Hutton Mountains → Antarctica
Huntress Glacier → Antarctica
Lamplugh Island →"
263,query_only,knowledge/location_continent,31,262,,,,,,,,,,,,,,,,,,,,,National Law School of India University,Asia,National Law School of India University →
264,icl,knowledge/location_continent,32,265,Huntress Glacier,Kukri Hills,Laurie Island,Kanchenjunga,Byers Peninsula,Kouilou-Niari River,William Scoresby Bay,Moldova,Mount Farrell,Turkmenistan,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Africa,Antarctica,Europe,Antarctica,Asia,National Law School of India University,Asia,"Huntress Glacier → Antarctica
Kukri Hills → Antarctica
Laurie Island → Antarctica
Kanchenjunga → Asia
Byers Peninsula → Antarctica
Kouilou-Niari River → Africa
William Scoresby Bay → Antarctica
Moldova → Europe
Mount Farrell → Antarctica
Turkmenistan → Asia
National Law School of India University →"
265,query_only,knowledge/location_continent,32,264,,,,,,,,,,,,,,,,,,,,,Granite Knolls,Antarctica,Granite Knolls →
266,icl,knowledge/location_continent,33,267,Saudi Arabia,Duchy of Brabant,Pechora River,Mount Newall,Corner Cliffs,Mount Queequeg,Yamato 000593,Anderson Heights,Marsh Glacier,history of Africa,Asia,Europe,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Africa,Granite Knolls,Antarctica,"Saudi Arabia → Asia
Duchy of Brabant → Europe
Pechora River → Europe
Mount Newall → Antarctica
Corner Cliffs → Antarctica
Mount Queequeg → Antarctica
Yamato 000593 → Antarctica
Anderson Heights → Antarctica
Marsh Glacier → Antarctica
history of Africa → Africa
Granite Knolls →"
267,query_only,knowledge/location_continent,33,266,,,,,,,,,,,,,,,,,,,,,"D'Urville Island, Antarctica",Antarctica,"D'Urville Island, Antarctica →"
268,icl,knowledge/location_continent,34,269,Djibouti,Tile Ridge,Reedy Glacier,Bowman Glacier,Laurie Island,Marshall Mountains,Wallonia,Beaglehole Glacier,Brahms Inlet,Pensacola Mountains,Africa,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,"D'Urville Island, Antarctica",Antarctica,"Djibouti → Africa
Tile Ridge → Antarctica
Reedy Glacier → Antarctica
Bowman Glacier → Antarctica
Laurie Island → Antarctica
Marshall Mountains → Antarctica
Wallonia → Europe
Beaglehole Glacier → Antarctica
Brahms Inlet → Antarctica
Pensacola Mountains → Antarctica
D'Urville Island, Antarctica →"
269,query_only,knowledge/location_continent,34,268,,,,,,,,,,,,,,,,,,,,,Stonington Island,Antarctica,Stonington Island →
270,icl,knowledge/location_continent,35,271,Eights Coast,Hippocrates Glacier,Nyamuragira,Solvay Mountains,Lazarev Mountains,Thimphu,Herbert Mountains,Guadalquivir,Chambal River,Martel Inlet,Antarctica,Antarctica,Africa,Antarctica,Antarctica,Asia,Antarctica,Europe,Asia,Antarctica,Stonington Island,Antarctica,"Eights Coast → Antarctica
Hippocrates Glacier → Antarctica
Nyamuragira → Africa
Solvay Mountains → Antarctica
Lazarev Mountains → Antarctica
Thimphu → Asia
Herbert Mountains → Antarctica
Guadalquivir → Europe
Chambal River → Asia
Martel Inlet → Antarctica
Stonington Island →"
271,query_only,knowledge/location_continent,35,270,,,,,,,,,,,,,,,,,,,,,East Francia,Europe,East Francia →
272,icl,knowledge/location_continent,36,273,Gornergrat,Exarchate of Ravenna,Cugnot Ice Piedmont,Peacock Sound,Willan Saddle,Watt Bay,Strom Glacier,Dominion Range,North Macedonia,Land Glacier,Europe,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,East Francia,Europe,"Gornergrat → Europe
Exarchate of Ravenna → Europe
Cugnot Ice Piedmont → Antarctica
Peacock Sound → Antarctica
Willan Saddle → Antarctica
Watt Bay → Antarctica
Strom Glacier → Antarctica
Dominion Range → Antarctica
North Macedonia → Europe
Land Glacier → Antarctica
East Francia →"
273,query_only,knowledge/location_continent,36,272,,,,,,,,,,,,,,,,,,,,,Maury Bay,Antarctica,Maury Bay →
274,icl,knowledge/location_continent,37,275,Quartz Hills,Churchill Peninsula,Conrad Mountains,Miers Valley,Mount Moses,Onyx River,Bertram Glacier,Noll Glacier,Umayyad Caliphate,Ryder Bay,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Maury Bay,Antarctica,"Quartz Hills → Antarctica
Churchill Peninsula → Antarctica
Conrad Mountains → Antarctica
Miers Valley → Antarctica
Mount Moses → Antarctica
Onyx River → Antarctica
Bertram Glacier → Antarctica
Noll Glacier → Antarctica
Umayyad Caliphate → Europe
Ryder Bay → Antarctica
Maury Bay →"
275,query_only,knowledge/location_continent,37,274,,,,,,,,,,,,,,,,,,,,,Argosy Glacier,Antarctica,Argosy Glacier →
276,icl,knowledge/location_continent,38,277,Arena Valley,Monte San Giorgio,Eland Mountains,McMurdo Station,Shackleton Range,Balham Valley,Damavand,Insel Range,Mount Cupola,Miers Valley,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Antarctica,Antarctica,Argosy Glacier,Antarctica,"Arena Valley → Antarctica
Monte San Giorgio → Europe
Eland Mountains → Antarctica
McMurdo Station → Antarctica
Shackleton Range → Antarctica
Balham Valley → Antarctica
Damavand → Asia
Insel Range → Antarctica
Mount Cupola → Antarctica
Miers Valley → Antarctica
Argosy Glacier →"
277,query_only,knowledge/location_continent,38,276,,,,,,,,,,,,,,,,,,,,,Arkell Cirque,Antarctica,Arkell Cirque →
278,icl,knowledge/location_continent,39,279,Probuda Ridge,Mount Spivey,Tisza,Trelech,Balchen Mountain,New Delhi,Anderson Hills,Uranus Glacier,Morocco,Davis Coast,Antarctica,Antarctica,Europe,Europe,Antarctica,Asia,Antarctica,Antarctica,Africa,Antarctica,Arkell Cirque,Antarctica,"Probuda Ridge → Antarctica
Mount Spivey → Antarctica
Tisza → Europe
Trelech → Europe
Balchen Mountain → Antarctica
New Delhi → Asia
Anderson Hills → Antarctica
Uranus Glacier → Antarctica
Morocco → Africa
Davis Coast → Antarctica
Arkell Cirque →"
279,query_only,knowledge/location_continent,39,278,,,,,,,,,,,,,,,,,,,,,Cugnot Ice Piedmont,Antarctica,Cugnot Ice Piedmont →
280,icl,knowledge/location_continent,40,281,Recovery Glacier,Arno,Cape Yelcho,Cape Hallett,Mount Manthe,Eswatini,Thimphu,Planet Heights,The Gullet,Enterprise Island,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Africa,Asia,Antarctica,Antarctica,Antarctica,Cugnot Ice Piedmont,Antarctica,"Recovery Glacier → Antarctica
Arno → Europe
Cape Yelcho → Antarctica
Cape Hallett → Antarctica
Mount Manthe → Antarctica
Eswatini → Africa
Thimphu → Asia
Planet Heights → Antarctica
The Gullet → Antarctica
Enterprise Island → Antarctica
Cugnot Ice Piedmont →"
281,query_only,knowledge/location_continent,40,280,,,,,,,,,,,,,,,,,,,,,Bull Pass,Antarctica,Bull Pass →
282,icl,knowledge/location_continent,41,283,Cape Archer,Chapman Snowfield,Detaille Island,East Ongul Island,Greenwood Valley,Chester Cone,Daniels Range,Yambol Peak,Bach Ice Shelf,Evans Peak,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Bull Pass,Antarctica,"Cape Archer → Antarctica
Chapman Snowfield → Antarctica
Detaille Island → Antarctica
East Ongul Island → Antarctica
Greenwood Valley → Antarctica
Chester Cone → Antarctica
Daniels Range → Antarctica
Yambol Peak → Antarctica
Bach Ice Shelf → Antarctica
Evans Peak → Antarctica
Bull Pass →"
283,query_only,knowledge/location_continent,41,282,,,,,,,,,,,,,,,,,,,,,Zechstein,Europe,Zechstein →
284,icl,knowledge/location_continent,42,285,British Empire,Frigate Range,Lisiya Ridge,Tapley Mountains,Cambodia,Mikkelsen Bay,Hood Glacier,Mount Queequeg,Dniester,Hanoi,Americas,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Antarctica,Antarctica,Europe,Asia,Zechstein,Europe,"British Empire → Americas
Frigate Range → Antarctica
Lisiya Ridge → Antarctica
Tapley Mountains → Antarctica
Cambodia → Asia
Mikkelsen Bay → Antarctica
Hood Glacier → Antarctica
Mount Queequeg → Antarctica
Dniester → Europe
Hanoi → Asia
Zechstein →"
285,query_only,knowledge/location_continent,42,284,,,,,,,,,,,,,,,,,,,,,Liberia,Africa,Liberia →
286,icl,knowledge/location_continent,43,287,Ninnis Glacier,Albanus Glacier,Pearse Valley,Zed Islands,Vistula,Eights Coast,Scaife Mountains,Martin Hills,Smith Glacier,Opalchenie Peak,Antarctica,Antarctica,Antarctica,Antarctica,Europe,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Liberia,Africa,"Ninnis Glacier → Antarctica
Albanus Glacier → Antarctica
Pearse Valley → Antarctica
Zed Islands → Antarctica
Vistula → Europe
Eights Coast → Antarctica
Scaife Mountains → Antarctica
Martin Hills → Antarctica
Smith Glacier → Antarctica
Opalchenie Peak → Antarctica
Liberia →"
287,query_only,knowledge/location_continent,43,286,,,,,,,,,,,,,,,,,,,,,Coulter Heights,Antarctica,Coulter Heights →
288,icl,knowledge/location_continent,44,289,Laos,Everett Range,Miers Valley,Montenegro,Whirlwind Inlet,Southern Netherlands,Irish Free State,Pernik Peninsula,Tisza,MacAlpine Hills,Asia,Antarctica,Antarctica,Europe,Antarctica,Europe,Europe,Antarctica,Europe,Antarctica,Coulter Heights,Antarctica,"Laos → Asia
Everett Range → Antarctica
Miers Valley → Antarctica
Montenegro → Europe
Whirlwind Inlet → Antarctica
Southern Netherlands → Europe
Irish Free State → Europe
Pernik Peninsula → Antarctica
Tisza → Europe
MacAlpine Hills → Antarctica
Coulter Heights →"
289,query_only,knowledge/location_continent,44,288,,,,,,,,,,,,,,,,,,,,,Beaglehole Glacier,Antarctica,Beaglehole Glacier →
290,icl,knowledge/location_continent,45,291,Green Glacier,Beaumont Glacier,Mount Weaver,Colbert Mountains,Kaliakra Glacier,Aleko Rock,Afghanistan,Siple Dome,Karun,Recovery Glacier,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Asia,Antarctica,Asia,Antarctica,Beaglehole Glacier,Antarctica,"Green Glacier → Antarctica
Beaumont Glacier → Antarctica
Mount Weaver → Antarctica
Colbert Mountains → Antarctica
Kaliakra Glacier → Antarctica
Aleko Rock → Antarctica
Afghanistan → Asia
Siple Dome → Antarctica
Karun → Asia
Recovery Glacier → Antarctica
Beaglehole Glacier →"
291,query_only,knowledge/location_continent,45,290,,,,,,,,,,,,,,,,,,,,,Viking Age,Europe,Viking Age →
292,icl,knowledge/location_continent,46,293,Estonia,Saudi Arabia,Granite Knolls,Forster Ice Piedmont,Nimbus Hills,Danger Islands,Long Hills,Eights Coast,Tower Island,Suvorov Glacier,Europe,Asia,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Antarctica,Viking Age,Europe,"Estonia → Europe
Saudi Arabia → Asia
Granite Knolls → Antarctica
Forster Ice Piedmont → Antarctica
Nimbus Hills → Antarctica
Danger Islands → Antarctica
Long Hills → Antarctica
Eights Coast → Antarctica
Tower Island → Antarctica
Suvorov Glacier → Antarctica
Viking Age →"
293,query_only,knowledge/location_continent,46,292,,,,,,,,,,,,,,,,,,,,,Daman and Diu,Asia,Daman and Diu →
294,icl,knowledge/location_continent,47,295,Shipka Saddle,Luapula River,Cape Northrop,Prussian Partition,Wilson Piedmont Glacier,Chester Cone,Jhelum River,Rutford Ice Stream,Rhine,Mount Melbourne,Antarctica,Africa,Antarctica,Europe,Antarctica,Antarctica,Asia,Antarctica,Europe,Antarctica,Daman and Diu,Asia,"Shipka Saddle → Antarctica
Luapula River → Africa
Cape Northrop → Antarctica
Prussian Partition → Europe
Wilson Piedmont Glacier → Antarctica
Chester Cone → Antarctica
Jhelum River → Asia
Rutford Ice Stream → Antarctica
Rhine → Europe
Mount Melbourne → Antarctica
Daman and Diu →"
